2019-04-18 17:46.05 STOP predict_per_district      region=Region(district_name='Krupina', region_name='Banskobystrický', area=584899600.0, geometry=<ee.geometry.Geometry object at 0x11feb4cf8>)
2019-04-18 17:46.05 STOP predict_per_district      region=Region(district_name='Hlohovec', region_name='Trnavský', area=267226972.0, geometry=<ee.geometry.Geometry object at 0x11284a748>)
2019-04-18 17:46.06 STOP predict_per_district      region=Region(district_name='Revúca', region_name='Banskobystrický', area=730123621.0, geometry=<ee.geometry.Geometry object at 0x11feb4ef0>)
2019-04-18 17:46.07 STOP predict_per_district      region=Region(district_name='Poltár', region_name='Banskobystrický', area=476302263.0, geometry=<ee.geometry.Geometry object at 0x11e950d68>)
2019-04-18 17:46.08 STOP predict_per_district      region=Region(district_name='Žiar nad Hronom', region_name='Banskobystrický', area=517659600.0, geometry=<ee.geometry.Geometry object at 0x120cd52b0>)
2019-04-18 17:46.11 STOP predict_per_district      region=Region(district_name='Prievidza', region_name='Trenčiansky', area=959869538.0, geometry=<ee.geometry.Geometry object at 0x11225f630>)
2019-04-18 17:46.11 STOP predict_per_district      region=Region(district_name='Košice I-IV and Košice - okolie', region_name='Košický', area=1778333031.0, geometry=<ee.geometry.Geometry object at 0x121d087b8>)
2019-04-18 17:46.14 STOP predict_per_district      region=Region(district_name='Michalovce', region_name='Košický', area=1019236154.0, geometry=<ee.geometry.Geometry object at 0x120cd5e80>)
2019-04-18 17:46.14 STOP predict_per_district      region=Region(district_name='Čadca', region_name='Žilinský', area=760617232.0, geometry=<ee.geometry.Geometry object at 0x11feb42e8>)
2019-04-18 17:46.14 STOP predict_per_district      region=Region(district_name='Levice', region_name='Nitriansky', area=1551104906.0, geometry=<ee.geometry.Geometry object at 0x11e993dd8>)
2019-04-18 17:46.19 STOP predict_per_district      region=Region(district_name='Rožňava', region_name='Košický', area=1173348104.0, geometry=<ee.geometry.Geometry object at 0x120cd5f28>)
2019-04-18 17:46.20 STOP predict_per_district      region=Region(district_name='Sabinov', region_name='Prešovský', area=545448530.0, geometry=<ee.geometry.Geometry object at 0x120cd5860>)
2019-04-18 17:46.22 STOP predict_per_district      region=Region(district_name='Brezno', region_name='Banskobystrický', area=1265211046.0, geometry=<ee.geometry.Geometry object at 0x11feb4b38>)
2019-04-18 17:46.22 STOP predict_per_district      region=Region(district_name='Lučenec', region_name='Banskobystrický', area=825553363.0, geometry=<ee.geometry.Geometry object at 0x11feb4da0>)
2019-04-18 17:46.22 STOP predict_per_district      region=Region(district_name='Veľký Krtíš', region_name='Banskobystrický', area=848182084.0, geometry=<ee.geometry.Geometry object at 0x120cd5080>)
2019-04-18 17:46.23 STOP predict_per_district      region=Region(district_name='Kežmarok', region_name='Prešovský', area=629867590.0, geometry=<ee.geometry.Geometry object at 0x120cd54a8>)
2019-04-18 17:46.37 STOP predict_per_district      region=Region(district_name='Stará Ľubovňa', region_name='Prešovský', area=707866759.0, geometry=<ee.geometry.Geometry object at 0x11e993eb8>)
